Date,newCases
30/01/2020,1
31/01/2020,0
01/02/2020,0
02/02/2020,1
03/02/2020,19
04/02/2020,0
05/02/2020,1
06/02/2020,0
07/02/2020,0
08/02/2020,3
09/02/2020,1
10/02/2020,1
11/02/2020,4
12/02/2020,1
13/02/2020,1
14/02/2020,0
15/02/2020,0
16/02/2020,0
17/02/2020,1
18/02/2020,0
19/02/2020,0
20/02/2020,0
21/02/2020,2
22/02/2020,0
23/02/2020,6
24/02/2020,2
25/02/2020,3
26/02/2020,2
27/02/2020,8
28/02/2020,12
29/02/2020,4
01/03/2020,20
02/03/2020,41
03/03/2020,57
04/03/2020,56
05/03/2020,49
06/03/2020,83
07/03/2020,68
08/03/2020,55
09/03/2020,148
10/03/2020,265
11/03/2020,403
12/03/2020,484
13/03/2020,478
14/03/2020,352
15/03/2020,441
16/03/2020,602
17/03/2020,783
18/03/2020,981
19/03/2020,0
20/03/2020,0
21/03/2020,0
22/03/2020,0
23/03/2020,2290
24/03/2020,2354
25/03/2020,2666
26/03/2020,3039
27/03/2020,3154
28/03/2020,2774
29/03/2020,2818
30/03/2020,4195
31/03/2020,4463
01/04/2020,4891
02/04/2020,4824
03/04/2020,4852
04/04/2020,3976
05/04/2020,3556
06/04/2020,5273
07/04/2020,5477
08/04/2020,5146
09/04/2020,4875
10/04/2020,4327
11/04/2020,3585
12/04/2020,3507
13/04/2020,4203
14/04/2020,4335
15/04/2020,5070
16/04/2020,5292
17/04/2020,4977
18/04/2020,4743
19/04/2020,3881
20/04/2020,4441
21/04/2020,4795
22/04/2020,5517
23/04/2020,5167
24/04/2020,4961
25/04/2020,3757
26/04/2020,3476
27/04/2020,4739
28/04/2020,4720
29/04/2020,5433
30/04/2020,4961
01/05/2020,4766
02/05/2020,3258
03/05/2020,3002
04/05/2020,3398
05/05/2020,3686
06/05/2020,3832
07/05/2020,3787
08/05/2020,3064
09/05/2020,2170
10/05/2020,2337
11/05/2020,3612
12/05/2020,3410
13/05/2020,3330
14/05/2020,2630
15/05/2020,2530
16/05/2020,2082
17/05/2020,1837
18/05/2020,2581
19/05/2020,3063
20/05/2020,2719
21/05/2020,2567
22/05/2020,2057
23/05/2020,1532
24/05/2020,1373
25/05/2020,1625
26/05/2020,2070
27/05/2020,1825
28/05/2020,1757
29/05/2020,1531
30/05/2020,1132
31/05/2020,1080
01/06/2020,1438
02/06/2020,1492
03/06/2020,1369
04/06/2020,1249
05/06/2020,1123
06/06/2020,804
07/06/2020,722
08/06/2020,1099
09/06/2020,1165
10/06/2020,1196
11/06/2020,1013
12/06/2020,1053
13/06/2020,886
14/06/2020,826
15/06/2020,1045
16/06/2020,1103
17/06/2020,1017
18/06/2020,1022
19/06/2020,993
20/06/2020,683
21/06/2020,636
22/06/2020,899
23/06/2020,883
24/06/2020,0
25/06/2020,726
26/06/2020,666
27/06/2020,653
28/06/2020,449
29/06/2020,724
30/06/2020,623
01/07/2020,652
02/07/2020,606
03/07/2020,568
04/07/2020,399
05/07/2020,0
06/07/2020,714
07/07/2020,608
08/07/2020,713
09/07/2020,722
10/07/2020,568
11/07/2020,459
12/07/2020,366
13/07/2020,740
14/07/2020,705
15/07/2020,777
16/07/2020,712
17/07/2020,582
18/07/2020,505
19/07/2020,448
20/07/2020,830
21/07/2020,788
22/07/2020,816
23/07/2020,808
24/07/2020,774
25/07/2020,530
26/07/2020,563
27/07/2020,869
28/07/2020,856
29/07/2020,1062
30/07/2020,946
31/07/2020,697
01/08/2020,559
02/08/2020,564
03/08/2020,1060
04/08/2020,1065
05/08/2020,1092
06/08/2020,1105
07/08/2020,973
08/08/2020,710
09/08/2020,627
10/08/2020,1499
11/08/2020,1378
12/08/2020,1242
13/08/2020,1156
14/08/2020,1185
15/08/2020,714
16/08/2020,602
17/08/2020,1298
18/08/2020,1116
19/08/2020,1282
20/08/2020,1498
21/08/2020,1218
22/08/2020,842
23/08/2020,831
24/08/2020,1301
25/08/2020,1270
26/08/2020,1388
27/08/2020,1591
28/08/2020,1632
29/08/2020,1230
30/08/2020,1171
31/08/2020,1513
01/09/2020,2288
02/09/2020,3077
03/09/2020,3152
04/09/2020,3092
05/09/2020,2551
06/09/2020,2465
07/09/2020,3931
08/09/2020,3370
09/09/2020,3365
10/09/2020,3628
11/09/2020,3324
12/09/2020,2670
13/09/2020,2154
14/09/2020,3428
15/09/2020,3551
16/09/2020,4399
17/09/2020,4676
18/09/2020,4973
19/09/2020,4889
20/09/2020,5340
21/09/2020,5627
22/09/2020,6441
23/09/2020,7096
24/09/2020,7682
25/09/2020,7318
26/09/2020,6809
27/09/2020,7023
28/09/2020,9983
29/09/2020,10367
30/09/2020,12717
01/10/2020,13358
02/10/2020,13854
03/10/2020,11667
04/10/2020,11954
05/10/2020,16755
06/10/2020,17250
07/10/2020,18575
08/10/2020,18427
09/10/2020,15903
10/10/2020,12652
11/10/2020,12213
12/10/2020,19710
13/10/2020,19135
14/10/2020,19933
15/10/2020,18639
16/10/2020,17938
17/10/2020,14888
18/10/2020,14330
19/10/2020,25926
20/10/2020,25680
21/10/2020,25785
22/10/2020,23497
23/10/2020,21714
24/10/2020,16464
25/10/2020,15905
26/10/2020,26807
27/10/2020,24360
28/10/2020,23907
29/10/2020,23649
30/10/2020,22896
31/10/2020,16702
01/11/2020,16001
02/11/2020,32003
03/11/2020,25989
04/11/2020,24055
05/11/2020,24102
06/11/2020,23714
07/11/2020,18784
08/11/2020,20253
09/11/2020,31556
10/11/2020,27828
11/11/2020,27792
12/11/2020,24876
13/11/2020,24438
14/11/2020,18258
15/11/2020,16258
16/11/2020,27006
17/11/2020,23531
18/11/2020,21118
19/11/2020,18074
20/11/2020,17134
21/11/2020,12556
22/11/2020,11913
23/11/2020,19083
24/11/2020,16704
25/11/2020,16858
26/11/2020,14817
27/11/2020,14597
28/11/2020,11105
29/11/2020,10874
30/11/2020,18265
01/12/2020,16745
02/12/2020,16748
03/12/2020,15926
04/12/2020,15866
05/12/2020,12917
06/12/2020,13765
07/12/2020,21644
08/12/2020,21097
09/12/2020,21937
10/12/2020,22927
11/12/2020,24425
12/12/2020,19592
13/12/2020,22279
14/12/2020,35221
15/12/2020,34414
16/12/2020,35438
17/12/2020,34440
18/12/2020,36417
19/12/2020,25589
20/12/2020,33064
21/12/2020,48192
22/12/2020,46475
23/12/2020,42936
24/12/2020,32391
25/12/2020,14419
26/12/2020,41109
27/12/2020,48519
28/12/2020,46407
29/12/2020,83088
30/12/2020,72161
31/12/2020,53945
01/01/2021,32482
02/01/2021,61654
03/01/2021,56332
04/01/2021,77970
05/01/2021,66635
06/01/2021,58784
07/01/2021,53187
08/01/2021,48103
09/01/2021,40035
10/01/2021,37174
11/01/2021,58591
12/01/2021,50647
13/01/2021,46506
14/01/2021,43473
15/01/2021,41450
16/01/2021,31247
17/01/2021,29592
18/01/2021,45956
19/01/2021,40526
20/01/2021,35985
21/01/2021,32501
22/01/2021,30330
23/01/2021,22344
24/01/2021,17554
25/01/2021,30736
26/01/2021,27730
27/01/2021,26303
28/01/2021,24772
29/01/2021,22433
30/01/2021,17167
31/01/2021,15783
01/02/2021,22971
02/02/2021,20268
03/02/2021,19914
04/02/2021,18492
05/02/2021,16308
06/02/2021,12320
07/02/2021,11664
08/02/2021,16193
09/02/2021,14225
10/02/2021,13899
11/02/2021,13139
12/02/2021,12573
13/02/2021,9034
14/02/2021,8994
15/02/2021,14735
16/02/2021,12941
17/02/2021,11942
18/02/2021,11794
19/02/2021,10728
20/02/2021,8312
21/02/2021,8097
22/02/2021,11655
23/02/2021,9762
24/02/2021,8845
25/02/2021,8025
26/02/2021,6783
27/02/2021,4949
28/02/2021,4873
01/03/2021,7191
02/03/2021,6919
03/03/2021,6172
04/03/2021,5937
05/03/2021,5467
06/03/2021,4628
07/03/2021,4410
08/03/2021,6890
09/03/2021,6487
10/03/2021,6251
11/03/2021,5933
12/03/2021,5716
13/03/2021,4379
14/03/2021,4425
15/03/2021,6697
16/03/2021,5849
17/03/2021,5976
18/03/2021,5623
19/03/2021,5176
20/03/2021,4246
21/03/2021,5388
22/03/2021,6458
23/03/2021,5481
24/03/2021,6222
25/03/2021,5616
26/03/2021,4567
27/03/2021,3731
