RC_ID,H3_count,Retail_N,Area_km2
RC_EW_1004,19,141,0.03669268
RC_EW_101,131,252,0.245968767
RC_EW_1010,43,216,0.082948691
RC_EW_1013,87,48,0.167440174
RC_EW_1014,268,1431,0.515804336
RC_EW_1023,372,1843,0.712907545
RC_EW_1032,42,140,0.080641985
RC_EW_1035,82,206,0.157314209
RC_EW_1036,47,164,0.090185092
RC_EW_1039,147,17,0.281819898
RC_EW_1048,55,160,0.105453259
RC_EW_1068,106,269,0.203561887
RC_EW_1077,86,225,0.164761617
RC_EW_1078,123,52,0.235642398
RC_EW_1086,73,143,0.139925566
RC_EW_1091,131,418,0.251865895
RC_EW_1096,91,219,0.174611947
RC_EW_11,44,402,0.092426242
RC_EW_1107,69,248,0.132653305
RC_EW_1114,116,350,0.223260393
RC_EW_1118,46,324,0.088653072
RC_EW_1119,56,118,0.108021413
RC_EW_1122,47,228,0.090098121
RC_EW_1125,159,464,0.300570764
RC_EW_113,33,112,0.062034857
RC_EW_1135,106,343,0.200885154
RC_EW_1139,64,174,0.121689931
RC_EW_1141,96,411,0.181199335
RC_EW_1145,53,131,0.100311993
RC_EW_1149,16,130,0.030475726
RC_EW_1151,65,452,0.12406387
RC_EW_1152,37,293,0.070721611
RC_EW_1156,97,610,0.184037432
RC_EW_116,289,891,0.542341083
RC_EW_1163,30,145,0.057036674
RC_EW_117,24,163,0.045172482
RC_EW_1170,125,53,0.233874792
RC_EW_1172,83,214,0.155045695
RC_EW_1176,36,266,0.067087128
RC_EW_1177,21,130,0.039110574
RC_EW_1178,85,425,0.15868591
RC_EW_1183,75,214,0.140396094
RC_EW_1185,38,234,0.071309626
RC_EW_1188,66,161,0.123572668
RC_EW_1197,41,153,0.076930273
RC_EW_1200,170,42,0.318065591
RC_EW_1201,55,46,0.103022924
RC_EW_1205,125,346,0.234796733
RC_EW_1209,153,694,0.287556601
RC_EW_121,152,26,0.284844496
RC_EW_1217,76,144,0.141956184
RC_EW_122,35,70,0.06561918
RC_EW_1230,227,742,0.424808127
RC_EW_1233,122,571,0.228574536
RC_EW_1234,243,34,0.454640544
RC_EW_1247,105,415,0.196176118
RC_EW_125,79,159,0.14822159
RC_EW_1252,105,193,0.196812058
RC_EW_1253,24,130,0.045178571
RC_EW_1257,83,445,0.155536616
RC_EW_1262,24,147,0.045299703
RC_EW_1268,40,236,0.075457527
RC_EW_1272,40,148,0.074533526
RC_EW_1274,182,947,0.339047263
RC_EW_1279,27,63,0.05039299
RC_EW_1290,86,72,0.160439498
RC_EW_1293,114,649,0.212629036
RC_EW_1304,73,209,0.139691722
RC_EW_1306,36,113,0.068912075
RC_EW_1309,139,542,0.26549105
RC_EW_1311,105,393,0.20119609
RC_EW_1312,56,98,0.107347218
RC_EW_1317,151,117,0.288124729
RC_EW_1318,112,631,0.213789296
RC_EW_1323,186,460,0.354548285
RC_EW_1324,51,206,0.097588989
RC_EW_1325,22,149,0.041854445
RC_EW_1328,56,269,0.106417236
RC_EW_1329,131,385,0.248718931
RC_EW_1332,48,257,0.091347702
RC_EW_1335,247,147,0.468716412
RC_EW_1339,119,364,0.226730883
RC_EW_1343,91,243,0.173040854
RC_EW_1346,56,186,0.108655674
RC_EW_1348,62,256,0.120716077
RC_EW_1358,147,763,0.285379428
RC_EW_1363,65,170,0.125999843
RC_EW_1370,91,217,0.177126011
RC_EW_1372,92,262,0.178894235
RC_EW_1379,564,2272,1.099022788
RC_EW_1385,74,104,0.144141615
RC_EW_1388,50,196,0.09731985
RC_EW_1391,66,121,0.127768357
RC_EW_1396,147,793,0.284244974
RC_EW_1397,19,127,0.03687853
RC_EW_1404,96,269,0.186135023
RC_EW_141,65,353,0.1219792
RC_EW_1414,43,128,0.084416032
RC_EW_1416,43,115,0.084160551
RC_EW_1422,15,115,0.029453908
RC_EW_1430,120,355,0.233358415
RC_EW_1431,149,437,0.290193666
RC_EW_1436,154,273,0.300525133
RC_EW_1446,91,362,0.177597288
RC_EW_1447,40,151,0.078092069
RC_EW_1451,15,87,0.029349414
RC_EW_1459,38,254,0.074205342
RC_EW_1463,17,149,0.033316674
RC_EW_1467,25,181,0.049108641
RC_EW_1475,164,661,0.320653063
RC_EW_1476,16,116,0.031382418
RC_EW_1487,117,761,0.224927351
RC_EW_1490,268,12,0.514876114
RC_EW_1492,17,103,0.032797069
RC_EW_1494,51,151,0.098161621
RC_EW_1496,99,278,0.191090004
RC_EW_1506,145,303,0.279784991
RC_EW_1511,66,49,0.126616011
RC_EW_1521,206,504,0.395207032
RC_EW_1528,65,258,0.124730675
RC_EW_1529,35,23,0.067192308
RC_EW_1530,127,211,0.243769584
RC_EW_1532,58,249,0.111434588
RC_EW_1542,159,675,0.307203562
RC_EW_1545,39,210,0.075446362
RC_EW_1553,96,379,0.185661527
RC_EW_156,17,121,0.032162409
RC_EW_1561,27,192,0.052061273
RC_EW_1563,44,148,0.085024369
RC_EW_1566,53,166,0.102689572
RC_EW_1570,35,177,0.067830906
